carrier,departure_time,stops,source,destination,itinerary_type,travel_date,days_before_travel,price
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-19,64,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-19,64,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-20,65,380
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-20,65,487
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-20,65,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-20,65,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-20,65,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-21,66,380
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-21,66,558
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-21,66,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-21,66,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-21,66,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-22,67,370
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-22,67,477
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-22,67,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-22,67,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-22,67,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-23,68,370
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-23,68,477
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-23,68,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-23,68,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-23,68,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-24,69,370
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-24,69,477
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-24,69,582
